Elaborado el... 2007-11-15
Mes: 1 de Febrero de 2007 al 28 de Febrero de 2007
CODIGO | PLAN | FECHA REGISTRO | HORA INGRESO | HORA SALIDA | SALA | No. EQUIPO | TIPO USO
0735464 |3846 | 2007-03-22 | 11:25:11 | 12:25:11 | idiomas | pc15 | Practica
0735464 |3846 | 2007-03-22 | 11:27:32 | 12:27:32 | idiomas | pc16 | Practica
0623526 |3842 | 2007-03-22 | 09:44:22 | 10:44:22 | idiomas | pc18 | Practica
0505278 |7878 | 2007-03-22 | 09:26:03 | 10:26:03 | idiomas | pc20 | Practica
0733019 |3857 | 2007-03-22 | 08:43:11 | 09:43:11 | idiomas | pc22 | Practica
0730114 |3857 | 2007-03-22 | 10:22:17 | 11:22:17 | idiomas | pc22 | Practica
0735459 |3846 | 2007-03-22 | 11:20:19 | 12:20:19 | idiomas | pc22 | Practica
0735998 |3857 | 2007-03-22 | 14:06:01 | 15:06:01 | idiomas | pc22 | Practica
0428198 |3845 | 2007-03-23 | 11:13:54 | 12:13:54 | idiomas | pc05 | Practica
0432554 |3846 | 2007-03-23 | 11:13:30 | 12:13:30 | idiomas | pc07 | Practica
0340254 |3857 | 2007-03-23 | 11:03:36 | 12:03:36 | idiomas | pc09 | Practica
0444268 |3748 | 2007-03-23 | 10:59:22 | 11:59:22 | idiomas | pc11 | Practica
0735807 |3846 | 2007-03-23 | 10:11:27 | 11:11:27 | idiomas | pc12 | Practica
0730819 |3857 | 2007-03-23 | 09:58:58 | 10:58:58 | idiomas | pc14 | Practica
0734540 |3857 | 2007-03-23 | 09:58:07 | 10:58:07 | idiomas | pc16 | Practica
0422268 |3857 | 2007-03-23 | 10:44:28 | 11:44:28 | idiomas | pc18 | Practica
0522339 |3857 | 2007-03-23 | 09:19:20 | 10:19:20 | idiomas | pc18 | Practica
0422284 |3857 | 2007-03-23 | 10:44:09 | 11:44:09 | idiomas | pc20 | Practica
0522192 |3857 | 2007-03-23 | 09:19:05 | 10:19:05 | idiomas | pc20 | Practica
0505278 |7878 | 2007-03-23 | 08:44:38 | 09:44:38 | idiomas | pc22 | Practica
0730114 |3857 | 2007-03-23 | 10:00:04 | 11:00:04 | idiomas | pc22 | Practica
0522003 |3842 | 2007-03-24 | 17:04:33 | 18:04:33 | idiomas | pc18 | Practica
0522108 |3857 | 2007-03-24 | 17:01:38 | 18:01:38 | idiomas | pc20 | Practica
0522224 |3551 | 2007-03-24 | 14:55:02 | 15:55:02 | idiomas | pc22 | Practica
0522358 |3842 | 2007-03-24 | 16:59:58 | 17:59:58 | idiomas | pc22 | Practica
0332766 |3857 | 2007-03-27 | 10:28:53 | 11:28:53 | idiomas | pc14 | Practica
0440254 |3857 | 2007-03-27 | 09:14:46 | 10:14:46 | idiomas | pc14 | Practica
16253860 |1111 | 2007-03-27 | 09:15:32 | 10:15:32 | idiomas | pc16 | Practica
0422253 |3857 | 2007-03-27 | 11:31:35 | 12:31:35 | idiomas | pc16 | Practica
0646047 |3857 | 2007-03-27 | 10:25:52 | 11:25:52 | idiomas | pc18 | Practica
0731777 |3846 | 2007-03-27 | 08:43:02 | 09:43:02 | idiomas | pc18 | Practica
0633267 |3857 | 2007-03-27 | 10:22:33 | 11:22:33 | idiomas | pc20 | Practica
0731954 |3846 | 2007-03-27 | 08:42:31 | 09:42:31 | idiomas | pc20 | Practica
0730114 |3857 | 2007-03-27 | 10:17:47 | 11:17:47 | idiomas | pc22 | Practica
0505278 |7878 | 2007-03-27 | 08:23:57 | 09:23:57 | idiomas | pc22 | Practica
0340254 |3857 | 2007-03-27 | 11:23:16 | 12:23:16 | idiomas | pc22 | Practica
0340254 |3857 | 2007-03-28 | 13:58:09 | 14:58:09 | idiomas | pc01 | Practica
16253860 |1111 | 2007-03-28 | 08:59:13 | 09:59:13 | idiomas | pc01 | Practica
0227416 |3845 | 2007-03-28 | 09:58:57 | 10:58:57 | idiomas | pc03 | Practica
0444268 |3748 | 2007-03-28 | 14:33:07 | 15:33:07 | idiomas | pc03 | Practica
0444268 |3748 | 2007-03-28 | 10:28:26 | 11:28:26 | idiomas | pc04 | Practica
0638093 |3857 | 2007-03-28 | 14:37:11 | 15:37:11 | idiomas | pc04 | Practica
0646047 |3857 | 2007-03-28 | 16:06:00 | 17:06:00 | idiomas | pc05 | Practica
0437765 |3842 | 2007-03-28 | 16:05:38 | 17:05:38 | idiomas | pc06 | Practica
0322377 |3846 | 2007-03-28 | 16:12:06 | 17:12:06 | idiomas | pc07 | Practica
